IP/HOST,OPTIONS,GB/S,COUNTRY,SITE,CONTINENT,PROVIDER,STATUS
iperf3 -c monitor.ita.ao -p 9201-9240,"'-R",,AO,Luanda,Africa,ITA,
iperf3 -c cust-fgt.maxnet.ao -p 9200-9240,"'-R",,AO,Luanda,Africa,Paratus,
iperf3 -c 105.235.237.2 -p 5201-5209,"'-R",,GQ,Bata,Africa,Guineanet,
iperf3 -c speedtestfl.telecom.mu -p 5201-5209,"'-R",,MU,Floreal,Africa,Mauritius Telecom,
iperf3 -c speedtest.telecom.mu -p 5201-5209,"'-R",,MU,Port Louis,Africa,Mauritius Telecom,
iperf3 -c  iperf3.ddng.isnet.net -p 5202-5203,"'-R",,NG,Lagos,Africa,NTT Data,
iperf3 -c sl-01-kgl.rw.seacomnet.com -p 5201-5209,"'-R",,RW,Kigali,Africa,Seacomnet,
iperf3 -c sl-01-kgl.rw.seacomnet.com  -p 5201-5209,"'-R",,RW,Kigali,Africa,SEACOM,
iperf3 -c 41.226.22.119 -p 9202-9240,"'-R",,TN,Tunis,Africa,Topnet,
iperf3 -c 196.179.245.2 -p 9200-9240,"'-R",,TN,Tunis,Africa,Tunisiana,
iperf3 -c  197.26.19.243 -p 9200-9240,"'-R",,TN,Tunis,Africa,Orange.tn,
iperf3 -c 154.0.5.20,"'-R",,ZA,Cape Town,Africa,Coolideas,
iperf3 -c speedtest.rocketnet.co.za,,,ZA,Johannesburg,Africa,RocketNet,
iperf3 -c speedtest1.bitco.co.za,"'-R",,ZA,Johannesburg,Africa,BitCo,
iperf3 -c 169.150.238.161,"'-R",10,ZA,Johannesburg,Africa,DATAPACKET,
iperf3 -c speedtest.hkg12.hk.leaseweb.net -p 5201-5210,"'-R,-6",10,HK,Hong Kong,Asia,LeaseWeb,
iperf3 -c 84.17.57.129,"'-R",10,HK,Hong Kong,Asia,DATAPACKET,
iperf3 -c speedtest.myrepublic.net.id -p 9200-9240,"'-R",,ID,Jakarta,Asia,MyRepublic,
iperf3 -c speed.netfiber.net.il,"'-R",1,IL,Jerusalem,Asia,Netfiber,
iperf3 -c speed.rimon.net.il,"'-R",1,IL,Jerusalem,Asia,Rimon,
iperf3 -c 169.150.202.193,"'-R",10,IL,Tel Aviv,Asia,DATAPACKET,
